# NEST version: nest-3-microcircuit@555986536
# RecordingBackendASCII version: 2
sender	time_ms
1530	10.300
144	12.600
1960	12.600
2031	13.000
1074	13.600
1482	13.900
520	14.200
1731	14.200
1824	14.200
701	14.400
1317	14.900
1531	15.100
509	15.300
1779	15.800
881	15.900
304	16.400
693	16.400
271	16.600
427	16.600
89	16.900
1456	17.100
2049	17.200
383	17.500
1625	17.500
1639	17.500
1913	17.600
246	17.700
70	17.900
1859	19.000
632	19.300
1140	20.300
88	22.100
1928	24.800
1999	27.400
982	29.200
1580	29.500
1775	29.700
2050	30.000
1291	30.200
1057	30.700
844	30.900
64	31.200
1730	31.400
1191	31.600
1612	31.900
369	32.300
37	33.500
198	34.900
439	35.300
505	35.300
1419	35.500
2060	36.100
791	36.400
1646	36.600
339	37.400
1097	43.500
919	46.600
522	46.700
1463	47.200
851	48.100
1761	48.600
691	49.200
1482	49.200
191	49.800
26	50.200
756	50.200
1348	51.700
1805	52.500
2040	52.900
1425	54.100
1333	54.400
1776	54.500
304	56.900
915	57.600
1786	58.700
1489	59.400
444	60.500
1212	62.300
1611	62.500
1246	62.600
1224	65.100
407	70.000
204	71.400
181	71.600
37	72.000
1693	72.100
765	72.700
449	74.500
891	75.300
1994	75.400
1767	76.500
1415	76.600
690	77.100
1306	77.200
695	77.300
202	77.400
696	77.400
1475	77.400
1625	77.500
363	77.700
93	77.900
549	77.900
1953	77.900
1595	78.000
1701	78.000
44	78.100
197	78.100
557	78.500
1235	78.600
469	78.900
2057	78.900
198	79.100
1873	79.400
1971	79.500
195	79.700
311	79.700
1005	79.800
632	79.900
1949	80.800
1881	81.000
338	81.100
1482	84.600
1808	87.600
1039	88.300
394	90.500
73	91.500
780	91.600
1761	93.000
1599	93.200
1911	93.600
1046	94.000
1251	94.100
1660	94.700
45	95.300
1317	95.700
13	97.700
1582	98.100
857	98.200
1394	99.700
2021	99.800
387	100.800
1029	101.100
1259	101.500
92	101.800
1881	103.100
529	103.800
1909	103.900
1085	104.100
1453	104.300
230	105.100
798	105.500
1640	105.500
1823	105.700
1347	106.400
927	107.600
357	108.100
1757	110.600
501	116.900
789	117.700
1392	117.800
1237	118.000
128	118.700
1118	119.100
1700	119.200
102	119.600
1086	119.600
903	119.700
299	120.100
1571	120.100
1911	120.400
1991	120.400
1294	120.600
374	121.200
994	121.200
495	121.600
863	121.600
1810	121.600
1650	121.700
1611	121.800
730	122.300
1060	122.900
1588	123.100
1675	125.100
294	125.400
1047	125.400
1027	125.800
1239	126.800
1855	128.000
1755	129.000
1094	129.900
993	131.200
204	136.400
1795	137.900
333	138.600
952	139.400
1386	140.200
1473	143.200
943	144.100
108	146.700
147	147.500
610	148.300
450	148.600
701	148.800
219	149.600
1666	150.200
1093	152.300
1212	152.500
484	152.800
1307	153.800
308	154.200
651	154.300
433	155.200
748	155.700
1599	155.700
166	155.800
1786	156.400
557	156.600
464	157.500
753	157.800
193	158.100
1607	158.100
1409	158.200
37	158.800
342	159.000
1667	159.300
436	159.800
1242	160.000
30	160.600
1358	161.100
444	161.400
1940	161.400
1412	161.500
937	161.700
1913	162.800
1411	163.300
1124	164.700
253	166.800
204	172.100
1147	175.100
1610	176.700
1394	176.900
224	178.000
867	181.000
957	181.000
1298	181.500
2011	181.600
399	181.700
1686	181.800
1085	182.300
1909	182.300
857	182.400
547	182.500
7	182.600
65	182.900
1445	183.600
1675	183.600
915	183.700
