# NEST version: nest-3-microcircuit@555986536
# RecordingBackendASCII version: 2
sender	time_ms
2597	0.100
2357	11.400
2214	13.300
2261	13.500
2491	13.800
2259	14.300
2149	15.700
2523	15.700
2578	15.700
2081	16.200
2499	16.200
2640	16.600
2468	16.800
2191	17.200
2405	17.200
2352	17.300
2095	17.400
2161	17.600
2213	17.600
2650	17.600
2151	17.700
2201	17.800
2369	17.900
2187	18.000
2396	18.000
2406	18.100
2417	18.200
2383	18.300
2503	18.300
2190	18.500
2552	18.500
2186	18.800
2540	19.000
2358	19.500
2308	19.600
2070	22.400
2549	22.400
2643	24.700
2139	25.800
2442	28.400
2422	28.600
2335	29.200
2102	29.600
2519	29.900
2389	30.200
2507	30.800
2093	31.000
2082	31.200
2489	31.400
2196	32.200
2118	32.700
2377	33.600
2620	33.900
2343	34.600
2512	35.400
2638	35.400
2269	35.700
2370	36.100
2480	37.100
2086	37.300
2374	37.400
2302	37.500
2080	37.700
2602	37.900
2484	38.100
2164	40.000
2365	40.300
2546	42.900
2598	44.300
2312	45.000
2380	45.600
2434	45.600
2626	46.300
2396	46.400
2486	49.700
2351	50.200
2183	51.000
2499	51.700
2590	51.800
2408	52.100
2479	52.100
2500	52.100
2358	52.200
2277	52.500
2579	53.300
2556	53.700
2215	54.300
2204	54.900
2210	54.900
2412	55.100
2386	55.600
2506	58.400
2454	58.500
2544	62.000
2389	62.200
2119	63.400
2124	63.500
2150	63.700
2114	64.400
2576	64.500
2328	64.600
2167	65.200
2156	65.400
2263	67.000
2348	67.900
2146	68.400
2396	68.800
2445	69.200
2281	69.900
2123	70.500
2372	71.400
2620	71.400
2342	72.100
2624	72.200
2357	72.400
2480	72.400
2484	72.500
2377	73.000
2581	73.800
2093	74.400
2399	75.100
2187	75.500
2290	75.500
2293	75.900
2178	76.600
2539	76.900
2541	77.900
2330	78.300
2434	78.400
2270	78.700
2326	79.000
2255	79.100
2554	79.400
2184	79.600
2393	79.600
2259	79.700
2561	79.700
2317	79.800
2099	80.000
2438	80.500
2649	80.800
2465	80.900
2412	81.200
2639	81.300
2237	81.900
2604	81.900
2409	82.400
2498	87.400
2530	88.300
2430	88.800
2167	89.000
2159	89.500
2277	90.600
2222	90.700
2228	90.700
2146	92.500
2306	92.500
2093	93.000
2211	93.000
2424	94.500
2431	94.800
2463	95.000
2543	95.200
2592	95.500
2258	96.300
2365	96.300
2522	96.800
2544	96.800
2303	97.400
2498	99.500
2466	99.800
2625	100.600
2485	102.100
2495	103.400
2643	103.500
2420	103.900
2579	104.100
2377	104.500
2609	104.800
2160	105.300
2284	105.600
2523	106.300
2461	106.800
2393	106.900
2132	107.800
2435	107.800
2581	107.900
2291	108.100
2486	109.000
2409	109.400
2381	109.900
2571	110.200
2608	110.200
2149	110.600
2257	110.900
2546	112.100
2556	112.600
2263	113.200
2247	115.600
2151	116.200
2243	117.000
2434	117.500
2249	117.600
2640	117.900
2209	119.500
2130	121.300
2179	121.500
2297	121.900
2099	122.100
2177	122.400
2395	122.400
2102	122.700
2080	122.800
2428	123.000
2442	123.200
2354	124.500
2460	124.600
2351	124.700
2174	124.900
2295	124.900
2421	125.300
2643	125.600
2452	127.800
2505	128.200
2204	128.500
2389	128.600
2636	128.900
2267	129.100
2364	129.500
2615	129.900
2193	130.100
2435	130.500
2500	130.500
2281	131.100
2595	131.200
2440	131.600
2620	132.000
2328	134.100
2538	136.500
2284	137.700
2352	138.700
2594	139.600
2208	139.900
2602	140.500
2269	140.600
2416	140.700
2347	140.800
2569	140.900
2314	141.000
2320	143.100
2556	143.400
2124	143.700
2251	143.800
2465	145.100
2304	149.300
2334	150.100
2317	150.300
2413	150.700
2191	150.900
2111	151.000
2492	151.300
2542	151.300
2570	152.400
2072	153.100
2526	153.700
2483	155.300
2170	155.800
2233	156.700
2632	157.200
2323	157.400
2242	157.800
2300	158.200
2156	158.700
2522	159.000
2249	159.400
2198	160.400
2263	160.600
2568	160.600
2598	161.600
2593	161.700
2428	162.100
2112	162.500
2354	162.500
2146	163.000
2424	163.200
2160	163.400
2365	163.700
2077	163.800
2465	163.800
2340	164.500
2579	164.700
2470	165.000
2581	165.200
2491	165.600
2132	166.000
2538	166.500
2272	167.200
2496	167.800
2530	168.500
2120	169.300
2398	172.900
2645	173.700
2299	174.800
2159	175.100
2309	176.400
2556	177.300
2271	177.800
2201	177.900
2622	180.300
2301	180.900
2544	181.300
2537	181.400
2211	181.800
2284	183.500
2269	183.600
2186	183.700
2583	183.700
2075	183.900
2430	183.900
2639	184.100
2649	184.200
2187	185.100
2126	185.400
2441	185.500
2612	185.500
2474	185.600
2354	185.800
2500	186.100
2090	187.000
2393	187.100
2468	187.800
2085	190.200
2209	190.500
2099	191.000
2180	192.200
2263	193.400
2161	193.800
2524	194.500
2529	194.700
2167	194.800
2456	195.000
2648	195.100
2375	195.200
2188	195.300
2183	195.400
2248	195.500
2503	195.600
2496	196.600
2219	197.500
2072	197.700
2220	198.100
2630	199.300
2455	200.000
2133	201.600
2643	202.300
2324	203.300
2134	203.400
2200	203.400
2359	203.400
2122	203.900
2243	204.500
2466	205.500
2439	205.600
2481	205.800
2326	207.000
2184	207.600
2235	209.400
2602	209.700
2261	209.800
2093	210.600
2489	211.000
2095	211.200
2128	211.500
2516	212.700
2417	213.600
2272	214.000
2420	215.800
2507	217.800
2547	217.900
2237	218.900
2579	219.700
2284	220.000
2459	220.300
2088	221.700
2568	221.900
2484	222.200
2090	222.700
2187	222.700
2458	222.700
2273	222.800
2277	223.000
2574	223.000
2575	223.000
2295	223.200
2203	223.700
2242	223.900
2328	224.200
2380	224.800
2374	225.100
2069	227.000
2281	231.100
2594	232.400
2527	232.600
2465	232.900
2102	233.300
2299	233.300
2175	233.800
2403	234.200
2446	234.600
2531	234.700
2335	235.200
2179	235.300
2500	235.300
2546	235.600
2370	237.900
2426	238.000
2205	238.700
2392	240.400
2521	241.000
2641	241.200
2624	241.300
2495	242.000
2294	242.300
2478	242.800
2468	243.100
2486	244.200
2184	245.000
2137	245.200
2542	245.200
2451	247.100
2576	248.600
2257	248.900
2604	248.900
2640	249.600
2632	250.000
2340	250.800
2381	250.800
2314	251.100
2418	251.600
2398	252.400
2232	253.100
2265	254.400
2351	254.700
2490	254.700
2124	255.800
2191	258.500
2126	258.700
2213	258.900
2440	259.000
2154	259.200
2411	259.300
2639	259.400
2268	259.500
2637	259.500
2477	259.600
2315	259.800
2464	259.800
2624	259.800
2329	259.900
2561	259.900
2295	260.200
2208	260.300
2628	260.300
2449	260.500
2347	260.700
2307	261.000
2646	261.200
2444	261.500
2649	261.900
2357	262.000
2210	262.200
2548	262.200
2590	262.800
2574	263.500
2633	263.500
2557	263.900
2216	264.300
2469	266.000
2169	266.500
2573	267.500
2269	267.600
2485	267.900
2095	275.700
2462	276.100
2452	276.600
2458	276.900
2090	277.000
2322	278.700
2457	278.700
2594	278.700
2650	278.700
2550	278.900
2110	280.000
2315	280.100
2316	280.200
2263	280.300
2412	280.600
2524	280.600
2588	280.700
2167	280.800
2515	280.900
2271	281.100
2388	281.100
2526	281.100
2244	281.200
2570	281.200
2187	281.300
2387	281.300
2625	281.300
2623	281.400
2323	281.500
2175	281.600
2379	281.600
2490	282.000
2595	282.200
2365	283.000
2466	283.800
2497	285.000
2622	289.000
2613	293.400
2194	293.600
2239	293.900
2148	294.200
2424	294.300
2420	294.500
2156	294.900
2487	294.900
2169	295.100
2361	296.000
2619	299.500
2461	299.900
2248	300.000
2214	301.100
2475	301.700
2080	301.900
2320	302.600
2396	302.700
2151	302.900
2120	303.000
2578	303.100
2236	303.200
2213	303.500
2466	303.600
2581	304.000
2374	304.100
2360	304.900
2281	307.400
2477	308.900
2494	311.000
2557	312.000
2186	313.400
2426	313.400
2358	314.300
2209	315.700
2411	316.200
2124	316.800
2213	317.000
2444	317.200
2641	318.400
2090	318.500
2430	319.000
2526	319.700
2399	320.000
2449	320.200
2201	320.900
2268	321.000
2324	321.300
2253	321.400
2293	321.500
2255	321.700
2118	322.900
2169	323.400
2170	324.000
2143	324.400
2263	324.600
2425	324.800
2428	325.700
2108	328.500
2264	330.000
2459	330.300
2597	331.000
2097	331.200
2495	331.300
2457	331.600
2448	332.000
2476	333.100
2503	333.400
2507	333.900
2635	334.300
2295	334.500
2470	334.500
2323	335.000
2615	335.000
2172	335.700
2605	335.900
2413	336.300
2366	336.600
2570	337.000
2257	337.100
2387	337.100
2209	337.600
2435	338.200
2400	338.800
2442	339.600
2365	339.700
2429	339.900
2110	340.100
2103	343.300
2360	343.300
2364	343.700
2377	344.700
2220	347.000
2238	348.400
2397	348.900
2650	349.500
2167	349.600
2639	349.600
2183	349.700
2268	349.700
2305	349.900
2491	350.200
2147	350.400
2509	350.700
2286	350.900
2334	350.900
2221	351.400
2114	352.600
2388	354.000
2190	354.200
2484	355.600
2594	356.000
2335	360.500
2588	361.700
2564	363.300
2357	363.500
2581	363.600
2210	364.300
2574	364.300
2544	365.500
2193	366.500
2126	366.700
2254	366.800
2095	367.000
2510	367.200
2542	367.400
2597	367.800
2316	368.700
2120	368.800
2465	369.400
2340	369.500
2186	369.600
2451	370.000
2333	370.200
2237	370.300
2093	370.500
2257	371.300
2284	371.400
2224	371.900
2152	373.600
2322	373.600
2428	373.700
2124	374.000
2486	375.100
2090	375.600
2631	375.600
2293	375.700
2630	375.700
2142	376.200
2538	376.200
2236	376.900
2492	378.500
2289	378.700
2290	379.200
2540	380.300
2475	381.300
2476	381.300
